Block,PSAT,Condition,Achievement
1,270,Control,15
1,275,Treatment,27
2,335,Treatment,12
2,360,Control,15
3,400,Control,24
3,405,Treatment,22
4,415,Treatment,27
4,415,Control,24
5,450,Treatment,20
5,460,Control,26
6,475,Treatment,27
6,475,Control,19
7,480,Control,25
7,480,Treatment,23
8,485,Treatment,28
8,485,Control,22
9,490,Control,32
9,490,Treatment,27
10,495,Control,27
10,495,Treatment,24
11,500,Treatment,34
11,510,Control,25
12,530,Treatment,32
12,535,Control,30
13,540,Control,31
13,540,Treatment,38
14,545,Treatment,31
14,545,Control,33
15,550,Treatment,38
15,550,Control,29
16,575,Control,34
16,585,Treatment,32
17,630,Control,32
17,635,Treatment,34
18,640,Treatment,39
18,645,Control,29
19,680,Control,29
19,700,Treatment,36
20,780,Treatment,36
20,795,Control,30
