"ID","Diet","WeightChange"
1,"Atkins",-63.38290033
2,"Atkins",-55.55649002
3,"Atkins",-48.50169764
4,"Atkins",-42.54921657
5,"Atkins",-35.71488644
6,"Atkins",-34.94326853
7,"Atkins",-30.64425442
8,"Atkins",-29.8726365
9,"Atkins",-28.77032519
10,"Atkins",-28.54986293
11,"Atkins",-25.68385352
12,"Atkins",-24.47131108
13,"Atkins",-23.69969317
14,"Atkins",-23.14853751
15,"Atkins",-21.82576394
16,"Atkins",-21.82576394
17,"Atkins",-20.39275924
18,"Atkins",-20.39275924
19,"Atkins",-20.06206584
20,"Atkins",-19.73137245
21,"Atkins",-18.18813662
22,"Atkins",-17.85744322
23,"Atkins",-16.53466965
24,"Atkins",-16.31420739
25,"Atkins",-15.87328286
26,"Atkins",-15.87328286
27,"Atkins",-15.76305173
28,"Atkins",-14.66074042
29,"Atkins",-14.2198159
30,"Atkins",-13.00727346
31,"Atkins",-12.4561178
32,"Atkins",-12.4561178
33,"Atkins",-12.12542441
34,"Atkins",-9.700339528
35,"Atkins",-9.038952742
36,"Atkins",-8.928721611
37,"Atkins",-7.826410301
38,"Atkins",-7.605948039
39,"Atkins",-6.944561253
40,"Atkins",-5.952481074
41,"Atkins",-4.850169764
42,"Atkins",-3.196702799
43,"Atkins",-2.425084882
44,"Atkins",-1.984160358
45,"Atkins",-1.984160358
46,"Atkins",-1.653466965
47,"Atkins",-1.212542441
48,"Atkins",-0.551155655
49,"Atkins",-0.330693393
50,"Atkins",0.551155655
51,"Atkins",1.10231131
52,"Atkins",1.212542441
53,"Atkins",1.322773572
54,"Atkins",1.433004703
55,"Atkins",1.763698096
56,"Atkins",1.873929227
57,"Atkins",2.094391489
58,"Atkins",2.755778275
59,"Atkins",2.755778275
60,"Atkins",3.417165061
69,"LEARN",-41.00598073
70,"LEARN",-37.58881567
71,"LEARN",-34.502344
72,"LEARN",-28.4396318
73,"LEARN",-24.91223561
74,"LEARN",-23.03830638
75,"LEARN",-22.70761299
76,"LEARN",-22.0462262
77,"LEARN",-21.82576394
78,"LEARN",-21.16437715
79,"LEARN",-20.94391489
80,"LEARN",-20.2825281
81,"LEARN",-19.73137245
82,"LEARN",-19.18021679
83,"LEARN",-18.62906114
84,"LEARN",-17.74721209
85,"LEARN",-17.74721209
86,"LEARN",-16.53466965
87,"LEARN",-13.66866024
88,"LEARN",-13.44819798
89,"LEARN",-13.11750459
90,"LEARN",-12.56634893
91,"LEARN",-9.92080179
92,"LEARN",-8.267334825
93,"LEARN",-8.157103694
94,"LEARN",-8.157103694
95,"LEARN",-7.275254646
96,"LEARN",-6.503636729
97,"LEARN",-6.393405598
98,"LEARN",-6.172943336
99,"LEARN",-6.062712205
100,"LEARN",-5.842249943
