ID,Homework,Achievement
1,4,53
2,0,56
3,3,37
4,4,55
5,7,50
6,0,36
7,0,22
8,3,75
9,0,37
10,2,42
11,4,57
12,1,53
13,3,64
14,3,54
15,5,59
16,2,48
17,2,50
18,4,51
19,0,38
20,4,38
21,10,59
22,1,55
23,2,48
24,1,41
25,2,52
26,1,63
27,2,64
28,2,65
29,5,68
30,1,59
31,0,29
32,0,49
33,0,41
34,2,53
35,4,71
36,3,63
37,3,51
38,5,52
39,4,48
40,3,58
41,2,39
42,2,41
43,1,51
44,2,54
45,0,53
46,2,59
47,0,30
48,1,49
49,0,54
50,0,49
51,3,45
52,1,44
53,1,60
54,3,53
55,1,56
56,3,54
57,0,64
58,1,61
59,4,63
60,3,75
61,1,53
62,1,54
63,5,65
64,1,57
65,3,48
66,2,54
67,2,62
68,0,53
69,2,61
70,5,56
71,0,32
72,2,44
73,1,62
74,2,39
75,1,61
76,0,36
77,1,46
78,2,54
79,2,61
80,2,25
81,3,72
82,0,41
83,0,29
84,3,39
85,2,70
86,5,38
87,2,39
88,2,45
89,3,74
90,0,41
91,1,34
92,2,61
93,4,62
94,4,55
95,4,64
96,2,47
97,1,48
98,6,47
99,3,44
100,6,50
