Block,PSAT,Condition
1,270,Control
1,275,Treatment
2,335,Treatment
2,360,Control
3,400,Control
3,405,Treatment
4,415,Treatment
4,415,Control
5,450,Treatment
5,460,Control
6,475,Treatment
6,475,Control
7,480,Control
7,480,Treatment
8,485,Treatment
8,485,Control
9,490,Control
9,490,Treatment
10,495,Control
10,495,Treatment
11,500,Treatment
11,510,Control
12,530,Treatment
12,535,Control
13,540,Control
13,540,Treatment
14,545,Treatment
14,545,Control
15,550,Treatment
15,550,Control
16,575,Control
16,585,Treatment
17,630,Control
17,635,Treatment
18,640,Treatment
18,645,Control
19,680,Control
19,700,Treatment
20,780,Treatment
20,795,Control
