ID,Age
1,68
2,70
3,31
4,28
5,22
6,7
7,57
8,27
9,23
10,0
11,11
12,9
13,42
14,37
15,9
16,4
17,73
18,24
19,72
20,44
21,42
22,38
23,34
24,2
25,73
26,42
27,39
28,48
29,25
30,23
31,21
32,16
33,66
34,71
35,39
36,24
37,3
38,88
39,57
40,73
41,72
42,49
43,47
44,46
45,43
46,40
47,47
48,8
49,46
50,40
51,16
52,14
53,50
54,45
55,24
56,17
57,86
58,45
59,42
60,20
61,12
62,75
63,68
64,45
65,39
66,15
67,12
68,44
69,13
70,9
71,51
72,20
73,18
74,59
75,48
76,52
77,21
78,15
79,54
80,44
81,20
82,18
83,43
84,19
85,14
86,41
87,42
88,14
89,13
90,70
91,40
92,67
93,66
94,62
95,62
96,30
97,28
98,26
99,3
100,2
101,74
102,67
103,48
104,19
105,14
106,70
107,41
108,61
109,58
110,29
111,28
112,26
113,23
114,75
115,52
116,23
117,81
118,46
119,53
120,48
121,27
122,23
123,20
124,17
125,14
126,21
127,0
128,60
129,55
130,23
131,74
132,60
133,37
134,37
135,2
136,42
137,70
138,68
139,39
140,31
141,15
142,11
143,7
144,70
145,32
146,24
147,24
148,0
149,51
150,54
151,23
152,18
153,15
154,73
155,71
156,62
157,41
158,39
159,14
160,7
161,58
162,57
163,31
164,12
165,56
166,46
167,24
168,18
169,10
170,53
171,30
172,27
173,21
174,24
175,0
176,65
177,32
178,36
179,7
180,2
181,52
182,50
183,17
184,15
185,50
186,44
187,22
188,19
189,15
190,71
191,64
192,22
193,10
194,87
195,82
196,57
197,18
198,19
199,44
200,38
201,16
202,6
203,47
204,42
205,18
206,15
207,12
208,27
209,21
210,3
211,38
212,37
213,10
214,0
215,34
216,30
217,10
218,9
219,70
220,71
221,32
222,55
223,51
224,26
225,29
226,73
227,72
228,33
229,39
230,34
231,8
232,45
233,48
234,19
235,15
236,48
237,46
238,26
239,24
240,22
241,7
242,90
243,45
244,52
245,19
246,17
247,89
248,48
249,49
250,19
251,19
252,43
253,40
254,18
255,39
256,40
257,10
258,8
259,74
260,34
261,58
262,54
263,28
264,22
265,50
266,29
267,25
268,18
269,27
270,22
271,1
272,0
273,54
274,68
275,30
276,28
277,24
278,85
279,78
280,34
281,64
282,35
283,33
284,24
285,35
286,8
287,1
288,53
289,60
290,29
291,25
292,63
293,55
294,26
295,15
296,35
297,35
298,7
299,3
300,51
301,56
302,22
303,21
304,49
305,56
306,22
307,20
308,16
309,45
310,39
311,8
312,73
313,64
314,64
315,40
316,15
317,63
318,55
319,24
320,25
321,0
322,56
323,46
324,20
325,55
326,35
327,37
328,37
329,14
330,3
331,76
332,70
333,60
334,56
335,30
336,28
337,29
338,26
339,1
340,54
341,48
342,24
343,21
344,26
345,1
346,17
347,71
348,71
349,66
350,46
351,20
352,58
353,40
354,12
355,59
356,19
357,47
358,39
359,14
360,2
361,62
362,55
363,26
364,40
365,38
366,16
367,11
368,48
369,40
370,13
371,38
372,36
373,8
374,2
375,71
376,54
377,24
378,81
379,74
380,64
381,57
382,26
383,24
384,6
385,59
386,45
387,24
388,22
389,20
390,38
391,38
392,25
393,3
394,27
395,4
396,4
397,70
398,65
399,12
400,60
401,56
402,25
403,20
404,38
405,38
406,14
407,12
408,34
409,38
410,11
411,2
412,42
413,37
414,13
415,6
416,49
417,47
418,20
419,15
420,64
421,38
422,36
423,36
424,6
425,71
426,71
427,43
428,38
429,17
430,4
431,45
432,42
433,13
434,6
435,46
436,41
437,16
438,14
439,72
440,61
441,42
442,36
443,12
444,6
445,56
446,51
447,24
448,22
449,21
450,52
451,37
452,13
453,9
454,54
455,50
456,26
457,22
458,16
459,25
460,0
461,42
462,42
463,13
464,9
465,45
466,31
467,19
468,16
469,3
470,59
471,58
472,35
473,35
474,10
475,27
476,23
477,69
478,90
479,47
480,42
481,14
482,9
483,72
484,63
485,46
486,25
487,64
488,55
489,33
490,26
491,32
492,4
493,88
494,59
495,48
496,25
497,23
498,19
499,41
500,41
501,10
502,3
503,41
504,34
505,14
506,6
507,17
508,51
509,44
510,22
511,15
512,58
513,60
514,54
515,57
516,30
517,24
518,22
519,22
520,2
521,0
522,66
