ID,Dollars,Area,Region
1,184.33,Rural,5
2,62.73,Rural,5
3,119.13,Rural,5
4,76.61,Rural,5
5,97.46,Rural,5
6,132.09,Rural,5
7,99.86,Rural,5
8,79.97,Rural,5
9,88.6,Rural,5
10,161.03,Rural,5
11,916.19,Rural,5
12,71.58,Rural,5
13,123.74,Rural,5
14,71.96,Rural,5
15,155.26,Rural,5
16,237.95,Rural,5
17,146.79,Rural,5
18,62.22,Rural,5
19,152.44,Rural,5
20,183.42,Rural,5
21,37.81,Rural,5
22,72.08,Rural,5
23,78.69,Rural,5
24,78.32,Rural,5
25,111.89,Rural,5
26,107.64,Rural,5
27,99.29,Rural,5
28,287.67,Rural,5
29,191.6,Rural,5
30,92.02,Rural,5
31,89.77,Rural,5
32,73.55,Rural,5
33,58.68,Rural,5
34,90.33,Rural,5
35,131.41,Rural,5
36,92.87,Rural,5
37,106.55,Rural,5
38,173.68,Rural,5
39,258.55,Rural,5
40,77.36,Rural,5
41,123.24,Rural,5
42,127.46,Rural,5
43,162.81,Rural,5
44,79.38,Rural,5
45,61.34,Rural,5
46,83.82,Rural,5
47,241.34,Rural,5
48,54.35,Rural,5
49,131.13,Rural,5
50,200.78,Rural,5
51,111.4,Rural,5
52,292.41,Rural,5
53,200.26,Rural,5
54,90.08,Rural,5
55,132.78,Rural,5
56,181.1,Rural,5
57,65.45,Rural,5
58,88.28,Rural,5
59,131.02,Rural,5
60,210.87,Rural,5
61,111.3,Rural,5
62,61.3,Rural,5
63,138.37,Rural,5
64,129.92,Rural,5
65,152.53,Rural,5
66,126.33,Rural,5
67,156.19,Rural,5
68,91.12,Rural,5
69,622.45,Rural,5
70,84.86,Rural,5
71,150.61,Rural,5
72,87.13,Rural,5
73,161.55,Rural,5
74,64.33,Rural,5
75,219.23,Rural,5
76,95.03,Rural,5
77,149.01,Rural,5
78,101.07,Rural,5
79,65.74,Rural,5
80,64.52,Rural,5
81,97.51,Rural,5
82,123.02,Rural,5
83,285.94,Rural,5
84,343.7,Rural,5
85,123.89,Rural,5
86,102.27,Rural,5
87,223.42,Rural,5
88,56.19,Rural,5
89,109.03,Rural,5
90,131.02,Rural,5
91,68.83,Rural,5
92,62.47,Rural,5
93,38.15,Rural,5
94,86.75,Rural,5
95,204.64,Rural,5
96,33.53,Rural,5
97,123.35,Rural,5
98,83.2,Rural,5
99,117.77,Rural,5
100,119.23,Rural,5
101,62.13,Rural,5
102,115.99,Rural,5
103,173.22,Rural,5
104,219.25,Rural,5
105,112.04,Rural,5
106,73.65,Rural,5
107,113.03,Rural,5
108,59.32,Rural,5
109,85.94,Rural,5
110,109.39,Rural,5
111,284.16,Rural,5
112,126.49,Rural,5
113,183.4,Rural,5
114,88.75,Rural,5
115,139.83,Rural,5
116,139.75,Rural,5
117,121.17,Rural,5
118,98.17,Rural,5
119,124.5,Rural,5
120,290.36,Rural,5
121,60.75,Rural,5
122,94.48,Rural,5
123,78.71,Rural,5
124,50.22,Rural,5
125,101.29,Rural,5
126,67.16,Rural,5
127,114.02,Rural,5
128,142.39,Rural,5
129,123.95,Rural,5
130,150.72,Rural,5
131,113.13,Rural,5
132,91.57,Rural,5
133,54.2,Rural,5
134,141.11,Rural,5
135,168.66,Rural,5
136,145.28,Rural,5
137,129.73,Rural,5
138,94.32,Rural,5
139,141.78,Rural,5
140,152.57,Rural,5
141,82.7,Rural,5
142,69.57,Rural,5
143,56.75,Rural,5
144,105.11,Rural,5
145,179.6,Rural,5
146,92.74,Rural,5
147,181.76,Rural,5
148,60.5,Rural,5
149,50.89,Rural,5
150,125.79,Rural,5
151,227.63,Rural,5
152,121.48,Rural,5
153,115.72,Rural,5
